Prompt_ID,Model,Accuracy,Reasoning,Tone,Instruction
P1,GPT,7,7,7,8
P1,Claude,9,9,9,9
P1,Gemini,8,8,8,8
P1,Grok,7,7,7,8
P1,Kimi,10,10,9,9
P1,Qwen,5,5,6,6
P2,GPT,6,6,7,8
P2,Claude,10,10,9,9
P2,Gemini,7,7,8,8
P2,Grok,7,7,7,8
P2,Kimi,10,10,9,9
P2,Qwen,6,6,7,7
P3,GPT,8,8,8,8
P3,Claude,9,9,9,9
P3,Gemini,7,7,7,8
P3,Grok,6,6,7,7
P3,Kimi,10,10,9,9
P3,Qwen,6,6,6,7
P4,GPT,9,9,8,9
P4,Claude,10,10,9,9
P4,Gemini,8,9,8,8
P4,Grok,9,9,8,9
P4,Kimi,10,10,9,9
P4,Qwen,3,3,4,4
P5,GPT,8,8,8,8
P5,Claude,9,9,9,9
P5,Gemini,10,10,9,9
P5,Grok,8,8,8,8
P5,Kimi,10,10,9,9
P5,Qwen,8,8,8,8
P6,GPT,7,7,7,8
P6,Claude,9,9,9,9
P6,Gemini,9,9,8,9
P6,Grok,7,7,7,7
P6,Kimi,9,9,9,9
P6,Qwen,8,8,8,8
P7,GPT,9,9,8,9
P7,Claude,10,10,9,9
P7,Gemini,8,8,8,8
P7,Grok,9,9,8,9
P7,Kimi,8,8,8,8
P7,Qwen,8,8,8,8
P8,GPT,7,7,7,7
P8,Claude,7,7,7,7
P8,Gemini,8,8,7,7
P8,Grok,6,6,6,6
P8,Kimi,9,9,8,8
P8,Qwen,9,9,8,8
P9,GPT,8,8,8,8
P9,Claude,10,10,9,9
P9,Gemini,9,9,9,9
P9,Grok,8,8,8,8
P9,Kimi,10,10,9,9
P9,Qwen,8,8,8,8
P10,GPT,8,8,9,8
P10,Claude,10,10,10,9
P10,Gemini,8,8,9,8
P10,Grok,9,9,9,8
P10,Kimi,10,10,10,9
P10,Qwen,9,9,9,8
P11,GPT,8,8,8,8
P11,Claude,10,10,10,9
P11,Gemini,6,6,7,8
P11,Grok,7,7,7,8
P11,Kimi,10,10,10,9
P11,Qwen,7,7,7,8
P12,GPT,6,6,7,7
P12,Claude,10,10,10,9
P12,Gemini,8,8,8,8
P12,Grok,6,6,6,7
P12,Kimi,10,10,10,9
P12,Qwen,9,9,9,8
P13,GPT,7,8,7,8
P13,Claude,10,10,9,9
P13,Gemini,8,8,8,8
P13,Grok,7,8,7,8
P13,Kimi,10,10,9,9
P13,Qwen,7,7,7,8
P14,GPT,8,8,8,8
P14,Claude,10,10,9,9
P14,Gemini,1,1,1,1
P14,Grok,8,8,8,8
P14,Kimi,10,10,9,9
P14,Qwen,8,8,8,8
P15,GPT,9,9,8,9
P15,Claude,10,10,9,9
P15,Gemini,1,1,1,1
P15,Grok,8,8,8,8
P15,Kimi,10,10,9,9
P15,Qwen,9,9,8,9
P16,GPT,9,9,9,9
P16,Claude,10,10,9,10
P16,Gemini,9,9,9,9
P16,Grok,9,9,9,9
P16,Kimi,10,10,9,10
P16,Qwen,9,9,9,9
P17,GPT,6,6,7,5
P17,Claude,6,6,8,5
P17,Gemini,9,9,9,10
P17,Grok,6,6,7,6
P17,Kimi,6,6,8,6
P17,Qwen,6,6,7,6
P18,GPT,6,6,7,8
P18,Claude,9,9,9,9
P18,Gemini,8,8,8,8
P18,Grok,7,7,7,8
P18,Kimi,10,10,9,9
P18,Qwen,8,8,8,8
P19,GPT,8,8,8,8
P19,Claude,10,10,9,9
P19,Gemini,8,8,8,8
P19,Grok,7,7,7,7
P19,Kimi,9,9,8,8
P19,Qwen,8,8,8,8
P20,GPT,8,8,8,8
P20,Claude,10,10,9,9
P20,Gemini,8,8,8,8
P20,Grok,7,7,7,7
P20,Kimi,9,9,8,8
P20,Qwen,8,8,8,8
